token,bech32_address,quantity,token_amount,hex_address
WRT,addr1q8wf5tq0qehc2tsnvg78la9tjqja0fgec73408g3zkr8w44l0c40057n43ykp9ry4pfuh2g8kplk82m6teynjsz47j9sex6gy5,67505247009,67505.247009,01dc9a2c0f066f852e13623c7ff4ab9025d7a519c7a3579d1115867756bf7e2af7d3d3ac49609464a853cba907b07f63ab7a5e49394055f48b
WRT,addr1qxhweu3qde66w263exa3yvmkt9php5vmt32et5jpqxezp29vjtzr0scddmgsu5nakvc4zqepl3ef6anvwdchakshs7fq85pne0,66416165325,66416.165325,01aeecf2206e75a72b51c9bb123376594370d19b5c5595d24101b220a8ac92c437c30d6ed10e527db331510321fc729d766c73717eda178792
WRT,addr1q85cva9jc85g3fg6u7663tz7483gaf0fgu2lck2synv898kctf55mcg3ctmulqa7tx9ktqqkyv80germx62g8tpt884shyw3kx,64285714285,64285.714285,01e98674b2c1e888a51ae7b5a8ac5ea9e28ea5e94715fc595024d8729ed85a694de111c2f7cf83be598b658016230ef4647b369483ac2b39eb
WRT,addr1q9n2rcqdakfap85hcaqkn0j52py5ellh5qxppzvemax4c686dlav8etntmdytadxs7ts00ufhvf2900zfv0hsx48t7gs8gwwxw,63354912384,63354.912384,0166a1e00ded93d09e97c74169be5450494cfff7a00c108999df4d5c68fa6ffac3e5735eda45f5a6879707bf89bb12a2bde24b1f781aa75f91
WRT,addr1qytm9sn373r74nq6yzaz4jvm6lewvr9v7jwq4jxp9aqxsy9ll53s9w34cs35z20cz896y868k0pphe82nm72nhlvqndqsz80a6,60500035671,60500.035671,0117b2c271f447eacc1a20ba2ac99bd7f2e60cacf49c0ac8c12f406810bffd2302ba35c4234129f811cba21f47b3c21be4ea9efca9dfec04da
WRT,addr1q83e3jfpduzld78c29gdlfjwrhc9dn7l9anm49lpzzxulx0l3ameapfr8rd3vu7n60mycy5tpfxmdrdwlkfk5qm0294ssnjdp4,59779001598,59779.001598,01e398c9216f05f6f8f85150dfa64e1df056cfdf2f67ba97e1108dcf99ff8f779e852338db1673d3d3f64c128b0a4db68daefd936a036f516b
WRT,addr1qykl4fdpp6kf3w0xs8snftf2dklyujh3y5vc908r3uc4fj8m9tekk32g93k27twuvhvkh4qjnxfenhelnas77gv2pm9senxe3z,59400357094,59400.357094,012dfaa5a10eac98b9e681e134ad2a6dbe4e4af1251982bce38f3154c8fb2af36b45482c6caf2ddc65d96bd412999399df3f9f61ef218a0ecb
WRT,addr1qyt4nh00hypqu4f74jlrveuxmtyucs6rujf3l4f8q2mvxe73l0mjcx64la8attkqzngzv5ad2zcmyqjprd68uz38wpkq9cw64j,59217322681,59217.322681,011759ddefb9020e553eacbe366786dac9cc4343e4931fd52702b6c367d1fbf72c1b55ff4fd5aec014d02653ad50b1b202411b747e0a27706c
WRT,addr1q8l5ss2aet2ml2e4cwntm00gfpd7n38a7582vju52twlcpq87w9apxda9dnnpqke4ys0447h2kwt6agluk9u4guajkksxald09,58440505273,58440.505273,01ff48415dcad5bfab35c3a6bdbde8485be9c4fdf50ea64b9452ddfc0407f38bd099bd2b673082d9a920fad7d7559cbd751fe58bcaa39d95ad
WRT,addr1qxz0z55dymfe493evkfvwwea2pp4jsv859dtw9jd3nljcf65gg7e5aqx6z3hfn9rv89x9x20ccwrwu2veaucrzd2m0xssu8d2u,56754689329,56754.689329,0184f1528d26d39a96396592c73b3d5043594187a15ab7164d8cff2c2754423d9a7406d0a374cca361ca62994fc61c37714ccf798189aadbcd
